actor,character,superhero_alias,platform,followers,posts,engagement_rate,avg_likes,avg_comments
Robert Downey Jr.,Tony Stark,Iron Man,Instagram,500000,200,8.2,12000,800
Chris Evans,Steve Rogers,Captain America,Twitter,300000,150,6.5,8000,500
Scarlett Johansson,Natasha Romanoff,Black Widow,Instagram,700000,300,7.8,15000,1000
Chris Hemsworth,Thor,Thor,YouTube,400000,100,9.1,20000,1200
Mark Ruffalo,Bruce Banner,Hulk,Twitter,200000,80,5.3,6000,400
Tom Holland,Peter Parker,Spider-Man,Instagram,650000,250,9.5,18000,1500
Chadwick Boseman,T’Challa,Black Panther,Instagram,550000,220,8.7,16000,1100
Benedict Cumberbatch,Stephen Strange,Doctor Strange,Twitter,280000,130,6.8,7500,450
Brie Larson,Carol Danvers,Captain Marvel,Instagram,480000,210,7.4,14000,900
Jeremy Renner,Clint Barton,Hawkeye,YouTube,220000,95,5.9,7000,350
Paul Rudd,Scott Lang,Ant-Man,Instagram,360000,170,6.6,9000,600
Elizabeth Olsen,Wanda Maximoff,Scarlet Witch,Instagram,620000,260,8.4,17000,1200
Anthony Mackie,Sam Wilson,Falcon,Twitter,240000,105,6.1,7200,480
Sebastian Stan,Bucky Barnes,Winter Soldier,Instagram,410000,190,7.2,11000,750
Tom Hiddleston,Loki,Loki,YouTube,330000,140,8.1,13000,850
Don Cheadle,James Rhodes,War Machine,Twitter,190000,75,5.2,5800,390
Evangeline Lilly,Hope van Dyne,Wasp,Instagram,300000,160,7,9500,650
Chris Pratt,Peter Quill,Star-Lord,Instagram,470000,210,7.6,12500,870
Zoe Saldana,Gamora,Gamora,Instagram,520000,230,7.9,13500,920
Dave Bautista,Drax the Destroyer,Drax,YouTube,250000,110,6.4,8000,500
